name
François Lallement
 Jules-Eugène Legris
Lillian Gish
 Mae Marsh
 Henry B. Walthall
 Miriam Cooper
Dan Hanlon
 Edna Pendleton
 Curtis Benton
 Allen Holubar
 Spottiswoode Aitken
 Mary Alden
 Frank Bennett
Charles Chaplin
 Edna Purviance
 Eric Campbell
 Albert Austin
Harold Lloyd
 'Snub' Pollard
 Bebe Daniels
Werner Krauss
 Conrad Veidt
 Friedrich Feher
 Lil Dagover
Paul Wegener
 Albert Steinrück
 Lyda Salmonova
 Ernst Deutsch
Marguerite De La Motte
 Robert McKim
 Noah Beery
 Charles Hill Mailes
Buster Keaton
 Virginia Fox
 Joe Roberts
 Malcolm St. Clair
 Edward F. Cline
Carl Miller
 Jackie Coogan
 Charles Chaplin
Rudolf Klein-Rogge
 Aud Egede-Nissen
 Gertrude Welcker
 Alfred Abel
Maren Pedersen
 Clara Pontoppidan
 Elith Pio
 Oscar Stribolt
Allakariallak
 Nyla
 Allee
 Cunayou
Max Schreck
 Gustav von Wangenheim
 Greta Schröder
 Georg H. Schnell
Joe Roberts
 Ralph Bushman
 Craig Ward
 Monte Collins
 Mildred Davis
 Bill Strother
 Noah Young
 Margaret Leahy
 Wallace Beery
Emil Jannings
 Maly Delschaft
 Max Hiller
 Emilie Kurz
 Kathryn McGuire
 Frederick Vroom
 Joe Keaton
 Erwin Connelly
Douglas Fairbanks
 Snitz Edwards
 Charles Belcher
 Julanne Johnston
Aleksandr Antonov
 Vladimir Barsky
 Grigori Aleksandrov
 Ivan Bobrov
 Jobyna Ralston
 Brooks Benedict
 James Anderson
Howard Truesdale
 Kathleen Myers
 Ray Thompson
 Brown Eyes
 Mack Swain
 Tom Murray
 Henry Bergman
Zasu Pitts
 Gibson Gowland
 Jean Hersholt
 Dale Fuller
Shirley Temple
 Lionel Barrymore
 Evelyn Venable
 John Lodge
Bessie Love
 Lewis Stone
 Lloyd Hughes
Lon Chaney
 Mary Philbin
 Norman Kerry
 Arthur Edmund Carewe
 T. Roy Barnes
 Ruth Dwyer
Ramon Novarro
 Francis X. Bushman
 May McAvoy
 Betty Bronson
Billie Dove
 Tempe Pigott
 Donald Crisp
 Sam De Grasse
Gösta Ekman
 Emil Jannings
 Camilla Horn
 Frida Richard
Warner Baxter
 Lois Wilson
 Neil Hamilton
 Georgia Hale
Marie Ault
 Arthur Chesney
 June
 Malcolm Keen
Alfred Abel
 Gustav Fröhlich
 Rudolf Klein-Rogge
 Fritz Rasp
 Lars Hanson
 Karl Dane
Rudolph Valentino
 Vilma Bánky
 George Fawcett
 Montagu Love
Paul von Hindenburg
Anne Cornwall
 Flora Bramley
 Harold Goodwin
 Marion Mack
 Glen Cavender
 Jim Farley
 Walter James
 Leo Willis
Albert Dieudonné
 Vladimir Roudenko
 Edmond Van Daële
 Alexandre Koubitzky
George O'Brien
 Janet Gaynor
 Margaret Livingston
 Bodil Rosing
Clara Bow
 Charles 'Buddy' Rogers
 Richard Arlen
Louise Brooks
 Fritz Kortner
 Francis Lederer
 Carl Goetz
 Marceline Day
 Sidney Bracey
Al Ernest Garcia
 Merna Kennedy
 Harry Crocker
 George Davis
Maria Falconetti
 Eugene Silvain
 André Berley
 Maurice Schutz
 Tom McGuire
 Ernest Torrence
 Tom Lewis
Walt Disney
Anny Ondra
 Sara Allgood
 Charles Paton
 John Longden
Charles King
 Anita Page
 Bessie Love
Mikhail Kaufman
The Marx Brothers
 Zeppo Marx
 Groucho Marx
 Harpo Marx
Belle Bennett
 Marguerite De La Motte
 Dorothy Revier
 Vera Lewis
Simone Mareuil
 Pierre Batcheff
Louis Wolheim
 Lew Ayres
 John Wray
 Arnold Lucy
 Chico Marx
 Marlene Dietrich
 Kurt Gerron
 Rosa Valetti
Edward G. Robinson
 Douglas Fairbanks Jr.
 Glenda Farrell
 William Collier Jr.
Herbert Marshall
 Norah Baring
 Phyllis Konstam
 Edward Chapman
Gaston Modot
 Lya Lys
 Caridad de Laberdesque
 Max Ernst
Richard Dix
 Irene Dunne
 Estelle Taylor
 Nance O'Neil
Virginia Cherrill
 Florence Lee
 Harry Myers
 Al Ernest Garcia
Bela Lugosi
 Helen Chandler
 David Manners
 Dwight Frye
Rudolf Forster
 Carola Neher
 Reinhold Schünzel
Colin Clive
 Mae Clarke
 John Boles
 Boris Karloff
Olga Breno
 Tatiana Rey
 Raul Schnoor
 Brutus Pedreira
Peter Lorre
 Ellen Widmann
 Inge Landgut
 Otto Wernicke
Bebe Daniels
 Ricardo Cortez
 Dudley Digges
 Una Merkel
James Cagney
 Jean Harlow
 Edward Woods
 Joan Blondell
Matahi
 Anne Chevalier
 Bill Bambridge
 Hitu
Henri Marchand
 Raymond Cordy
 Rolla France
 Paul Ollivier
Helen Hayes
 Gary Cooper
 Adolphe Menjou
 Mary Philips
Wallace Ford
 Leila Hyams
 Olga Baclanova
 Roscoe Ates
Greta Garbo
 John Barrymore
 Joan Crawford
Paul Muni
 Helen Vinson
 Noel Francis
Boris Karloff
 Zita Johann
 Arthur Byron
Leon M. Lion
 Anne Grey
 John Stuart
 Donald Calthrop
 Jimmy Durante
 Polly Moran
 Irene Purcell
Fred Howard
 Ben Hendricks Jr.
 William Gargan
 Mary Shaw
Clark Gable
 Gene Raymond
 Mary Astor
Henry Kendall
 Joan Barry
 Percy Marmont
 Betty Amann
 Ann Dvorak
 Karen Morley
 Osgood Perkins
 Gustav Diessl
 Rudolf Schündler
 Oskar Höcker
Miriam Hopkins
 Kay Francis
 Herbert Marshall
 Charles Ruggles
Tatsuo Saitô
 Tomio Aoki
 Mitsuko Yoshikawa
 Hideo Sugawara
 Madge Bellamy
 Joseph Cawthorn
 Robert Frazer
Richard Arlen
 William Austin
Marie Dressler
 George Brent
 Ruby Keeler
Mae West
 Cary Grant
 Gregory Ratoff
 Edward Arnold
Claude Rains
 Gloria Stuart
 William Harrigan
 Henry Travers
Fay Wray
 Robert Armstrong
 Bruce Cabot
 Frank Reicher
Katharine Hepburn
 Joan Bennett
 Paul Lukas
 Edna May Oliver
Charles Laughton
 Robert Donat
 Franklin Dyall
 Miles Mander
 John Gilbert
 Ian Keith
 Owen Moore
 Gilbert Roland
Jack Mulhall
 Raymond Hatton
 John Wayne
John Wayne
 Sheila Terry
 Shirley Jean Rickert
 Jack Rockwell
Michel Simon
 Dita Parlo
 Jean Dasté
 Gilles Margaritis
Virginia Karns
 Charlotte Henry
 Felix Knight
 Florence Roberts
 James Dunn
 Claire Trevor
 Alan Dinehart
 Bela Lugosi
 Julie Bishop
 Jane Darwell
 Judith Allen
Fred Astaire
 Ginger Rogers
 Alice Brady
 Edward Everett Horton
 Claudette Colbert
 Walter Connolly
 Roscoe Karns
Leslie Banks
 Edna Best
 Peter Lorre
 Frank Vosper
 Madge Evans
 Sylvia Froos
Maureen O'Sullivan
 Paul Cavanagh
 Forrester Harvey
William Powell
 Myrna Loy
 Maureen O'Sullivan
 Nat Pendleton
Adolf Hitler
 Max Amann
 Martin Bormann
 Walter Buch
John Barrymore
 Carole Lombard
Robert Donat
 Madeleine Carroll
 Lucie Mannheim
 Godfrey Tearle
 Colin Clive
 Valerie Hobson
 Ernest Thesiger
Errol Flynn
 Olivia de Havilland
 Lionel Atwill
 Basil Rathbone
 Rochelle Hudson
 Jack Holt
 Clark Gable
 Franchot Tone
 Herbert Mundin
Groucho Marx
 Kitty Carlisle
 Rosemary Ames
 Joel McCrea
 Lyle Talbot
 Brian Aherne
 Edmund Gwenn
 Erik Rhodes
 James Stewart
 Elissa Landi
 Guy Kibbee
 Slim Summerville
 Buddy Ebsen
 Frank Morgan
 Robert Kent
 Helen Westley
Walter Huston
 Ruth Chatterton
 Randolph Scott
 Harriet Hilliard
Sylvia Sidney
 Spencer Tracy
 Walter Abel
Nino Martini
 Ida Lupino
 Leo Carrillo
 Harold Huber
 Luise Rainer
Jean Harlow
 William Powell
Freddie Bartholomew
 Dolores Costello
 C. Aubrey Smith
 Paulette Goddard
 Tiny Sandford
Gary Cooper
 Jean Arthur
 George Bancroft
 Lionel Stander
 Gail Patrick
Leslie Howard
 Bette Davis
 Genevieve Tobin
 Dick Foran
 Alice Faye
 Jack Haley
 Oskar Homolka
 Desmond Tester
 John Loder
 Robert Young
 Eugene Pallette
 Victor Moore
 Helen Broderick
Dorothy Short
 Kenneth Craig
 Lillian Miles
 Dave O'Brien
Irene Dunne
 Ralph Bellamy
 Alexander D'Arcy
 George Burns
 Gracie Allen
 Joan Fontaine
 Allan Jones
 Tilly Losch
Jean Gabin
 Pierre Fresnay
 Erich von Stroheim
 Arthur Treacher
Tyrone Power
 Don Ameche
Paul Robeson
 Cedric Hardwicke
 Roland Young
 Anna Lee
 Gale Sondergaard
 Joseph Schildkraut
 Gloria Holden
Ronald Colman
 Jane Wyatt
 John Howard
Carole Lombard
 Fredric March
 Charles Winninger
 Gabriel Gabrio
 Saturnin Fabre
 Fernand Charpin
 Eric Blore
Roy Atwell
 Stuart Buchanan
 Adriana Caselotti
 Hall Johnson Choir
Janet Gaynor
 May Robson
Barbara Stanwyck
 Anne Shirley
 Barbara O'Neil
Constance Bennett
 Billie Burke
