actor,movieId
Tom Hanks,1
 Jim Varney,1
 Don Rickles,1
 Tim Allen,1
Robin Williams,2
 Bradley Pierce,2
 Kirsten Dunst,2
 Jonathan Hyde,2
Walter Matthau,3
 Ann-Margret,3
 Jack Lemmon,3
 Sophia Loren,3
Whitney Houston,4
 Lela Rochon,4
 Angela Bassett,4
 Loretta Devine,4
Steve Martin,5
 Kimberly Williams-Paisley,5
 Diane Keaton,5
 Martin Short,5
 Robert De Niro,6
 Val Kilmer,6
 Jon Voight,6
Al Pacino,6
 Nancy Marchand,7
 Greg Kinnear,7
 Julia Ormond,7
Harrison Ford,7
Jonathan Taylor Thomas,8
 Brad Renfro,8
 Eric Schweig,8
 Charles Rocket,8
Jean-Claude Van Damme,9
 Powers Boothe,9
 Raymond J. Barry,9
 Whittni Wright,9
 Famke Janssen,10
 Sean Bean,10
 Izabella Scorupco,10
Pierce Brosnan,10
Michael Douglas,11
 Martin Sheen,11
 Annette Bening,11
 Michael J. Fox,11
Leslie Nielsen,12
 Peter MacNicol,12
 Steven Weber,12
 Amy Yasbeck,12
 Jim Cummings,13
Kevin Bacon,13
 Bob Hoskins,13
 Bridget Fonda,13
Anthony Hopkins,14
 Ed Harris,14
 Powers Boothe,14
 Joan Allen,14
 Frank Langella,15
 Matthew Modine,15
 Maury Chaykin,15
Geena Davis,15
Robert De Niro,16
 Joe Pesci,16
 Sharon Stone,16
 James Woods,16
 Kate Winslet,17
 Tom Wilkinson,17
 Harriet Walter,17
James Fleet,17
 Amanda De Cadenet,18
 Valeria Golino,18
 Madonna,18
Sammi Davis,18
Jim Carrey,19
 Ian McNeice,19
 Simon Callow,19
 Maynard Eziashi,19
Wesley Snipes,20
 Woody Harrelson,20
 Jennifer Lopez,20
 Robert Blake,20
 Danny DeVito,21
 Gene Hackman,21
 Rene Russo,21
John Travolta,21
 Holly Hunter,22
 Dermot Mulroney,22
 William McNamara,22
Sigourney Weaver,22
 Anatoli Davydov,23
 Antonio Banderas,23
 Julianne Moore,23
Sylvester Stallone,23
Mary Steenburgen,24
 Jeff Goldblum,24
 Lance Henriksen,24
 Sean Patrick Flanery,24
Nicolas Cage,25
 Elisabeth Shue,25
 Julian Sands,25
 Richard Lewis,25
Laurence Fishburne,26
 Irène Jacob,26
 Kenneth Branagh,26
 Nathaniel Parker,26
 Melanie Griffith,27
 Thora Birch,27
 Rosie O'Donnell,27
Christina Ricci,27
Amanda Root,28
 Susan Fleetwood,28
 Ciarán Hinds,28
 Corin Redgrave,28
Ron Perlman,29
 Judith Vittet,29
 Daniel Emilfork,29
 Dominique Pinon,29
Li Gong,30
 Wang Xiaoxiao,30
 Baotian Li,30
 Xuejian Li,30
 Robin Bartlett,31
 George Dzundza,31
 Courtney B. Vance,31
Michelle Pfeiffer,31
 Bruce Willis,32
 Jon Seda,32
 Michael Chance,32
Joseph Melito,32
Christine Cavanaugh,34
 Danny Mann,34
 Miriam Margolyes,34
 Hugo Weaving,34
 Samuel West,35
Emma Thompson,35
 Jonathan Pryce,35
 Steven Waddington,35
 Raymond J. Barry,36
 Robert Prosky,36
 Sean Penn,36
Susan Sarandon,36
 Victor Steinbach,37
Peter Reznick,37
 John McDonough,37
 Avi Hoffman,37
 Steve Guttenberg,38
 Mary-Kate Olsen,38
 Ashley Olsen,38
Kirstie Alley,38
 Paul Rudd,39
 Brittany Murphy,39
 Stacey Dash,39
Alicia Silverstone,39
 Vusi Kunene,40
 Richard Harris,40
 Charles S. Dutton,40
James Earl Jones,40
 Jim Broadbent,41
 Annette Bening,41
 Robert Downey Jr.,41
Ian McKellen,41
 Freddy Rodríguez,42
 Chris Tucker,42
 Keith David,42
Larenz Tate,42
 David Thewlis,43
 Sam Neill,43
 Polly Walker,43
Robert Downey Jr.,43
 Linden Ashby,44
 Robin Shou,44
 Cary-Hiroyuki Tagawa,44
Christopher Lambert,44
 Joaquin Phoenix,45
 Matt Dillon,45
 Casey Affleck,45
Nicole Kidman,45
 Adam Baldwin,46
 Sara Craddick,46
 Kate Capshaw,46
Kaelynn Craddick,46
 Brad Pitt,47
 Andrew Kevin Walker,47
 Daniel Zacapa,47
Morgan Freeman,47
Irene Bedard,48
 David Ogden Stiers,48
 Judy Kuhn,48
 Mel Gibson,48
 Rachael Crawford,49
 Henry Czerny,49
 David Fox,49
Pascale Bussières,49
 Benicio Del Toro,50
 Gabriel Byrne,50
 Kevin Pollak,50
Stephen Baldwin,50
 Rene Ceballos,52
 Elie Chaib,52
 George De La Pena,52
Pamela Blair,52
 Carmelo Di Mazzarelli,53
 Piro Milkani,53
 Michele Placido,53
Enrico Lo Verso,53
 Olivia d'Abo,54
 Jay O. Sanders,54
Steve Guttenberg,54
 John Terry,54
 Max Perlich,55
 Mare Winningham,55
 Ted Levine,55
Jennifer Jason Leigh,55
 Charles Durning,57
 Robert Downey Jr.,57
 Anne Bancroft,57
Holly Hunter,57
 Renato Scarpa,58
 Maria Grazia Cucinotta,58
Philippe Noiret,58
 Massimo Troisi,58
 Patrick Goyette,59
 Jean-Louis Millette,59
 Kristin Scott Thomas,59
Lothaire Bluteau,59
Hal Scardino,60
 Litefoot,60
 Lindsay Crouse,60
 Richard Jenkins,60
Sally Field,61
 Ed Harris,61
 Olivia Burnette,61
 Alexandra Kyle,61
 Jay Thomas,62
 Glenne Headly,62
 Olympia Dukakis,62
Richard Dreyfuss,62
 Chris Spencer,63
 Tracey Cherelle Jones,63
 Marlon Wayans,63
Shawn Wayans,63
Denis Leary,64
 Sandra Bullock,64
 Stephen Dillane,64
 Yaphet Kotto,64
William Atherton,65
 Denise Dowse,65
 Dara Tomanovich,65
 Kevin West,65
Patrick Bergin,66
 Matt Frewer,66
 Ely Pouget,66
 Austin O'Brien,66
 Ticky Holgado,68
 Alain Chabat,68
 Josiane Balasko,68
Victoria Abril,68
 Tommy 'Tiny' Lister,69
 Nia Long,69
 Chris Tucker,69
Ice Cube,69
George Clooney,70
 Quentin Tarantino,70
 Harvey Keitel,70
 Juliette Lewis,70
William Baldwin,71
 Christopher McDonald,71
 Steven Berkoff,71
 Cindy Crawford,71
Josh Hamilton,72
 Jonathan Baumbach,72
 Samuel Gould,72
 Catherine Kellner,72
 Michel Boujenah,73
 Alessandra Martines,73
 Salomé Lelouch,73
Jean-Paul Belmondo,73
 Mary Stuart Masterson,74
Christian Slater,74
 Josh Brolin,74
 Pamela Adlon,74
 Andrew Lauer,76
 Jennifer Rubin,76
 Roy Dupuis,76
Peter Weller,76
 Edith Boulogne,77
 Christian Päffgen,77
 Tina Aumont,77
Nico,77
 Anjelica Huston,78
 David Morse,78
 Robin Wright,78
Jack Nicholson,78
 Alec Baldwin,79
Demi Moore,79
 Anne Heche,79
 Joseph Gordon-Levitt,79
 Anna Borkowska,80
Aida Mohammadkhani,80
 Mohsen Kafili,80
 Fereshteh Sadre Orafaiy,80
 Bill Nunn,81
 Christopher Lloyd,81
 William Forsythe,81
Andy Garcia,81
 Veerle van Overloop,82
 Els Dottermans,82
 Dora van der Groen,82
Willeke van Ammelrooy,82
Al Freeman Jr.,83
 Phylicia Rashad,83
 Leon,83
 Paula Kelly,83
Victoria Foyt,84
 Jon Robin Baitz,84
 Viveca Lindfors,84
 Savannah Smith Boucher,84
 Patsy Kensit,85
 Kristin Scott Thomas,85
Mark Rylance,85
 Jeremy Kemp,85
 Scott Wolf,86
 John Savage,86
 Caroline Goodall,86
Jeff Bridges,86
 Faye Dunaway,87
Jason Alexander,87
 Rupert Everett,87
 Eric Lloyd,87
 Christine Ebersole,88
 Tim Matheson,88
Chris Farley,88
 David Spade,88
 Christopher Walken,89
 Courtney Chase,89
 Charles S. Dutton,89
Johnny Depp,89
 George Cole,92
 Michael Gambon,92
Julia Roberts,92
 John Malkovich,92
Eddie Murphy,93
 Kadeem Hardison,93
 Angela Bassett,93
 Allen Payne,93
 Annabeth Gish,94
 Lauren Holly,94
Matt Dillon,94
 Noah Emmerich,94
John Travolta,95
 Christian Slater,95
 Samantha Mathis,95
 Delroy Lindo,95
 Nicholas Farrell,96
 Joan Collins,96
 Hetta Charnley,96
Richard Briers,96
 Abdel Ahmed Ghili,97
 Saïd Taghmaoui,97
 Hubert Koundé,97
Vincent Cassel,97
 Fraser James,98
 Sean Pertwee,98
 Jude Law,98
Sadie Frost,98
Nick Broomfield,99
 Corinne Bohrer,99
 Madam Alex,99
 Mike Brambles,99
 John Cusack,100
Al Pacino,100
 Bridget Fonda,100
 Danny Aiello,100
 Owen Wilson,101
Luke Wilson,101
 Ned Dowd,101
 Shea Fowler,101
 Dean Stockwell,102
 Joan Cusack,102
 Bill Pullman,102
Ellen DeGeneres,102
Ray Liotta,103
 Linda Fiorentino,103
 Peter Coyote,103
 Christopher McDonald,103
 Christopher McDonald,104
Adam Sandler,104
 Frances Bay,104
 Julie Bowen,104
Clint Eastwood,105
 Meryl Streep,105
 Annie Corley,105
 Victor Slezak,105
Tim Curry,107
 Billy Connolly,107
 Jennifer Saunders,107
 Kevin Bishop,107
Christy Turlington,108
 Giorgio Armani,108
 Azzedine Alaïa,108
 Nadja Auermann,108
James Robinson,110
