name,movieId
GeorgesMéliès,32898
D.W. Griffith,7065
D.W. Griffith,7243
StuartPaton,62383
Charles Chaplin,3640
Charles Chaplin,3632
Charles Chaplin,3559
Charles Chaplin,3462
Charles Chaplin,1281
Charles Chaplin,8511
Charles Chaplin,3309
Charles Chaplin,3629
Charles Chaplin,3310
Charles Chaplin,3307
Charles Chaplin,3306
Hal Roach,72626
Robert Wiene,6987
CarlBoese,25737
Paul Wegener,25737
Fred Niblo,59945
Fred Niblo,6986
Edward F. Cline,3929
Edward F. Cline,25874
Edward F. Cline,8522
Edward F. Cline,83322
Edward F. Cline,3140
Edward F. Cline,83411
Edward F. Cline,83359
Edward F. Cline,83361
Edward F. Cline,83096
Buster Keaton,83322
Buster Keaton,3022
Buster Keaton,8275
Buster Keaton,7074
Buster Keaton,3140
Buster Keaton,83359
Buster Keaton,83361
Buster Keaton,83096
Buster Keaton,8609
Buster Keaton,83411
Buster Keaton,25764
Buster Keaton,25769
Buster Keaton,83318
Buster Keaton,3232
Buster Keaton,25750
Buster Keaton,3133
MalcolmSt. Clair,83318
Fritz Lang,5017
Fritz Lang,7571
Fritz Lang,8236
Fritz Lang,25911
Fritz Lang,25904
Fritz Lang,5169
Fritz Lang,25972
Fritz Lang,25825
Fritz Lang,6515
Fritz Lang,3377
Fritz Lang,2010
Fritz Lang,4768
Fritz Lang,8670
Fritz Lang,1260
Benjamin Christensen,25744
Robert J. Flaherty,44587
F.W.Murnau,8125
F.W.Murnau,4404
F.W.Murnau,4405
F.W.Murnau,1348
F.W.Murnau,5599
John G.Blystone,8609
Fred C. Newmeyer,25752
Fred C. Newmeyer,8235
Sam Taylor,8235
Sam Taylor,25752
Donald Crisp,7074
Raoul Walsh,6431
Raoul Walsh,3406
Raoul Walsh,8491
Raoul Walsh,7219
Raoul Walsh,7216
Raoul Walsh,7302
SergeiM. Eisenstein,3742
Erich vonStroheim,25753
DavidButler,8616
DavidButler,5372
DavidButler,5097
DavidButler,47606
DavidButler,8572
DavidButler,5231
