movieId,title,runtime,countries,year,plot
1,Toy Story,81,[USA],1995,A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room.
2,Jumanji,104,[USA],1995,"When two kids find and play a magical board game, they release a man trapped for decades in it and a host of dangers that can only be stopped by finishing the game."
3,Grumpier Old Men,101,[USA],1995,"John and Max resolve to save their beloved bait shop from turning into an Italian restaurant, just as its new female owner catches Max's attention."
4,Waiting to Exhale,124,[USA],1995,"Based on Terry McMillan's novel, this film follows four very different African-American women and their relationships with the male gender."
5,Father of the Bride Part II,106,[USA],1995,"In this sequel, George Banks deals not only with the pregnancy of his daughter, but also with the unexpected pregnancy of his wife."
6,Heat,170,[USA],1995,A group of professional bank robbers start to feel the heat from police when they unknowingly leave a clue at their latest heist.
7,Sabrina,127,"[Germany, USA]",1995,"An ugly duckling having undergone a remarkable change, still harbors feelings for her crush: a carefree playboy, but not before his business-focused brother has something to say about it."
8,Tom and Huck,97,[USA],1995,"Tom and Huck witness Injun Joe's killing of Doc Robinson one night at the graveyard. When an innocent man is accused of killing the Doc, Tom steps up as a witness, not respecting the promise made to Huck to lay low."
9,Sudden Death,111,[USA],1995,A former fireman takes on a group of terrorists holding the Vice President and others hostage during the seventh game of the NHL Stanley Cup finals.
10,GoldenEye,130,"[UK, USA]",1995,James Bond teams up with the lone survivor of a destroyed Russian research center to stop the hijacking of a nuclear space weapon by a fellow agent formerly believed to be dead.
11,"American President, The",114,[USA],1995,"Comedy-drama about a widowed U.S. president and a lobbyist who fall in love. It's all above-board, but politics is perception and sparks fly anyway."
12,Dracula: Dead and Loving It,88,"[USA, France]",1995,Mel Brooks' parody of the classic vampire story and its famous film adaptations.
13,Balto,78,[USA],1995,"An outcast half-wolf risks his life to prevent a deadly epidemic from ravaging Nome, Alaska."
14,Nixon,192,[USA],1995,"A biographical story of former U.S. president Richard Milhous Nixon, from his days as a young boy to his eventual presidency which ended in shame."
