name
Georges Méliès
D.W. Griffith
Stuart Paton
Charles Chaplin
Hal Roach
Robert Wiene
Carl Boese
 Paul Wegener
Fred Niblo
Edward F. Cline
 Buster Keaton
Buster Keaton
 Malcolm St. Clair
Fritz Lang
Benjamin Christensen
Robert J. Flaherty
F.W. Murnau
John G. Blystone
Fred C. Newmeyer
 Sam Taylor
Donald Crisp
Raoul Walsh
Sergei M. Eisenstein
Erich von Stroheim
David Butler
Harry O. Hoyt
Rupert Julian
 Lon Chaney
 Ernst Laemmle
 Edward Sedgwick
 Charles Brabin
 Christy Cabanne
 J.J. Cohn
 Rex Ingram
Albert Parker
Herbert Brenon
Alfred Hitchcock
Victor Sjöström
George Fitzmaurice
Walter Ruttmann
James W. Horne
Clyde Bruckman
Ted Wilde
 J.A. Howe
 Harold Lloyd
 Lewis Milestone
Abel Gance
William A. Wellman
 Harry d'Abbadie d'Arrast
Georg Wilhelm Pabst
Edward Sedgwick
Carl Theodor Dreyer
Charles Reisner
Ub Iwerks
 Walt Disney
Harry Beaumont
Dziga Vertov
Robert Florey
 Joseph Santley
Allan Dwan
Luis Buñuel
Lewis Milestone
Victor Heerman
Josef von Sternberg
Mervyn LeRoy
Wesley Ruggles
Tod Browning
James Whale
Mario Peixoto
Roy Del Ruth
Norman Z. McLeod
René Clair
Frank Borzage
Edmund Goulding
Karl Freund
Victor Fleming
Howard Hawks
 Richard Rosson
Ernst Lubitsch
Yasujirô Ozu
Victor Halperin
George Cukor
Leo McCarey
Lloyd Bacon
Merian C. Cooper
 Ernest B. Schoedsack
Alexander Korda
Rouben Mamoulian
Lowell Sherman
Colbert Clark
 Armand Schaefer
Harry L. Fraser
Jean Vigo
Gus Meins
 Charley Rogers
Harry Lachman
Edgar G. Ulmer
Mark Sandrich
Frank Capra
Hamilton MacFadden
Cedric Gibbons
 Jack Conway
 James C. McKay
W.S. Van Dyke
Leni Riefenstahl
Michael Curtiz
Irving Cummings
Frank Lloyd
Sam Wood
 Edmund Goulding
John S. Robertson
William A. Seiter
William Wyler
Robert Z. Leonard
Jack Conway
John Cromwell
Gregory La Cava
Archie Mayo
George Stevens
Louis J. Gasnier
Sidney Franklin
 Victor Fleming
 Gustav Machatý
 Sam Wood
Jean Renoir
Henry King
Robert Stevenson
William Dieterle
Garson Kanin
Julien Duvivier
William Cottrell
 David Hand
 Wilfred Jackson
 Larry Morey
 Perce Pearce
 Ben Sharpsteen
King Vidor
John Ford
 William Keighley
Edwin L. Marin
Anthony Asquith
 Leslie Howard
Edward Buzzell
George Marshall
Thorold Dickinson
 George Cukor
 Sidney Franklin
Dave Fleischer
Sidney Lanfield
Walter Lang
 William A. Seiter
Rowland V. Lee
 Walter Lang
Richard Thorpe
Busby Berkeley
 Mervyn LeRoy
 Norman Taurog
 King Vidor
Norman Ferguson
 James Algar
 Samuel Armstrong
 Ford Beebe Jr.
 Jim Handley
 T. Hee
 Hamilton Luske
 Bill Roberts
 Paul Satterfield
Christy Cabanne
 Jack Kinney
Victor Schertzinger
Orson Welles
Samuel Armstrong
 Norman Ferguson
 John Elliotte
Michael Powell
Preston Sturges
John Huston
William Keighley
George Waggner
Alfred L. Werker
James Algar
 Graham Heid
 Norman Wright
Jacques Tourneur
David Miller
Erle C. Kenton
Stuart Heisler
Vincent Sherman
Zoltan Korda
 Fred Fleck
 Robert Wise
Billy Wilder
Harold Young
Irving Rapper
James Mangold
Frank Tuttle
Vincente Minnelli
 Busby Berkeley
Delmer Daves
Roy William Neill
Lewis Seiler
Fred M. Wilcox
 Emeric Pressburger
Arthur Lubin
Wilfred Jackson
Mark Robson
Robert Siodmak
Andrew L. Stone
Gunther von Fritsch
Edward Ludwig
Laurence Olivier
Otto Preminger
Leslie Goodwins
Reginald Le Borg
Edward Dmytryk
Clarence Brown
Lewis Allen
George Sidney
Robert Wise
David Lean
 Fred Zinnemann
Marcel Carné
John M. Stahl
Albert Lewin
Hal Walker
S. Sylvan Simon
Charles Vidor
 Robert Montgomery
 Clyde Geronimi
 Harold Young
Jean Cocteau
 René Clément
 Otto Brower
 William Dieterle
 William Cameron Menzies
 David O. Selznick
 Josef von Sternberg
Sidney Gilliat
Robert Cormack
 Joshua Meador
Roberto Rossellini
Tay Garnett
 Harve Foster
James Edward Grant
Irving Reis
Henry Koster
Robert Rossen
H.C. Potter
Elia Kazan
Joseph L. Mankiewicz
Henry Hathaway
Douglas Sirk
George Seaton
Elliott Nugent
Carol Reed
Curtis Bernhardt
Henri-Georges Clouzot
Anthony Mann
Charles Barton
John Farrow
Charles Walters
Abraham Polonsky
 Anthony Mann
Jean Negulesco
Vittorio De Sica
Max Ophüls
 Arthur Rosson
Anatole Litvak
Nicholas Ray
Akira Kurosawa
Robert Hamer
Ernest B. Schoedsack
Stanley Donen
 Gene Kelly
Harold D. Schuster
Clyde Geronimi
Rudolph Maté
Joseph H. Lewis
Victor Saville
Compton Bennett
 Andrew Marton
Fred Zinnemann
Jules Dassin
Kurt Neumann
Byron Haskin
Charles Lamont
Bretaigne Windust
 Raoul Walsh
John Berry
René Clément
 Ida Lupino
Federico Fellini
Brian Desmond Hurst
Lee Sholem
Christian Nyby
 Howard Hawks
Felix E. Feist
Cecil B. DeMille
Phil Karlson
Charles Crichton
Alexander Mackendrick
Richard Fleischer
 Roy Ward Baker
Roy Rowland
Ida Lupino
Kenneth Anger
Edward D. Wood Jr.
André De Toth
Jack Arnold
Samuel Fuller
Ingmar Bergman
Kenji Mizoguchi
Jacques Tati
Robert Aldrich
Michael Anderson
John Ireland
 Edward Sampson
Ishirô Honda
Richard Brooks
Hiroshi Inagaki
Gordon Douglas
Joseph M. Newman
Laslo Benedek
Frank Tashlin
John Sturges
Valentine Davies
Jean-Pierre Melville
Norman Foster
Joseph Pevney
Burt Lancaster
Stanley Kubrick
 Stanley Donen
 Otto Lang
Delbert Mann
 Joshua Logan
Charles Laughton
 Robert Mitchum
 Terry Sanders
Alain Resnais
Satyajit Ray
Joshua Logan
Daniel Mann
Jesse Hibbs
Edvin Laine
 John Farrow
Albert Lamorisse
Kon Ichikawa
Melvin Frank
 Norman Panama
Roger Vadim
Jack Pollexfen
Don Siegel
Gerd Oswald
Joseph Anthony
Robert Bresson
Sidney Lumet
Henry Levin
Bert I. Gordon
Terence Fisher
Dick Powell
Robert Altman
 George W. George
Mikhail Kalatozov
Hal Kanter
George Abbott
Val Guest
Nunnally Johnson
Nathan Juran
Morton DaCosta
Richard Quine
Irvin S. Yeaworth Jr.
 Russell S. Doughten Jr.
Stanley Kramer
William Castle
Melville Shavelson
Albert Band
Martin Ritt
Keisuke Kinoshita
Roy Ward Baker
 Henry King
Andrzej Wajda
George Pal
Joseph Green
Paul Wendkos
Ray Kellogg
Masaki Kobayashi
Blake Edwards
Marcel Camus
Michael Gordon
François Truffaut
Edward Bernds
Jack Clayton
Clifford Odets
Georges Franju
Jean-Luc Godard
John Wayne
Bernard L. Kowalski
Michelangelo Antonioni
Jerry Lewis
Norman Taurog
Jack Sher
Roger Corman
 Charles B. Griffith
 Mel Welles
Mario Bava
Vincent J. Donehue
David Swift
Karel Reisz
 Hal E. Chester
 Cyril Frankel
Ken Annakin
Wolf Rilla
Richard Murphy
 Jack Hill
Louis Malle
Pier Paolo Pasolini
Jack Donohue
 John Wayne
Jack Smith
J. Lee Thompson
Cy Endfield
 Wolfgang Reitherman
Marlon Brando
Daniel Petrie
Basil Dearden
Irwin Allen
Jerome Robbins
John Frankenheimer
 Charles Crichton
Herk Harvey
Frank Perry
Steve Sekely
 Freddie Francis
Terence Young
 Henry Hathaway
 George Marshall
 Richard Thorpe
Andrei Tarkovsky
 Eduard Abalov
Chris Marker
 Bernhard Wicki
 Gerd Oswald
 Darryl F. Zanuck
Michael Carreras
Arthur Penn
 Carol Reed
Roman Polanski
Robert Enrico
Ralph Nelson
Clark L. Paylow
Robert Mulligan
Fritz Böttger
George Englund
 George Pal
William Asher
John Schlesinger
Herschell Gordon Lewis
Anton Leader
 Rouben Mamoulian
James B. Clark
Luchino Visconti
Abe Levitow
Fletcher Markle
Don Chaffey
Peter Brook
Joseph Losey
Wolfgang Reitherman
 Francis Ford Coppola
 Monte Hellman
 Jack Nicholson
Norman Jewison
Tony Richardson
Seijun Suzuki
Kimiyoshi Yasuda
Mihalis Kakogiannis
Arthur Hiller
Peter Glenville
Paul Henreid
Glauber Rocha
Guy Hamilton
Bill Colleran
 John Gielgud
Richard Lester
Kaneto Shindô
Don Weis
Jacques Demy
Sergio Leone
Larry Roemer
Paul Almond
Jack Hill
Hiroshi Teshigahara
Sergei Parajanov
Gillo Pontecorvo
Elliot Silverstein
Bill Melendez
Costa-Gavras
Russ Meyer
Alan Rafkin
 David Lean
 Jean Negulesco
Gene Nelson
Sidney J. Furie
Bryan Forbes
Ján Kadár
 Elmar Klos
Leonid Gayday
Guy Green
Marco Bellocchio
James Ivory
Andrew V. McLaglen
Fred Coe
Clive Donner
 Richard Talmadge
Lewis Gilbert
Leslie H. Martinson
John Guillermin
James Hill
 Tom McGowan
Kihachi Okamoto
Chuck Jones
 Ben Washam
Bruce Brown
Norman Tokar
Frederick De Cordova
Silvio Narizzano
Jack Smight
George Axelrod
Harold P. Warren
John Gilling
Philippe de Broca
Claude Lelouch
Woody Allen
 Senkichi Taniguchi
Mike Nichols
Ray Goossens
Gene Saks
Jim O'Connolly
Franco Zeffirelli
Ken Hughes
 John Huston
 Joseph McGrath
 Robert Parrish
Arthur H. Nadel
Stuart Rosenberg
D.A. Pennebaker
Alejandro Jodorowsky
Ted Post
Richard Rush
Jean Yarbrough
Milos Forman
Vilgot Sjöman
George Harrison
 John Lennon
 Paul McCartney
 Ringo Starr
 Bernard Knowles
Robert Carl Cohen
John Boorman
Arnold Laven
George Roy Hill
Frederick Wiseman
James Clavell
Peter Yates
Christian Marquand
John Cassavetes
Robert Ellis Miller
Werner Herzog
Anthony Harvey
Michael Reeves
George A. Romero
Michael O'Herlihy
Franklin J. Schaffner
Mel Brooks
Paul Newman
 Louis Malle
 Roger Vadim
Martin Scorsese
George Dunning
Lindsay Anderson
Tom Gries
Charles Jarrott
Marv Newland
Paul Mazursky
Dennis Hopper
Larry Peerce
Gene Kelly
Peter Collinson
Rainer Werner Fassbinder
Nat Hiken
Éric Rohmer
Haskell Wexler
Peter R. Hunt
 Abe Levitow
 Dave Monahan
Ronald Neame
Jack Couffer
Albert Maysles
 David Maysles
 Charlotte Zwerin
Alan J. Pakula
Burt Kennedy
Bob Fosse
